from,to
907,931
931,887
895,903
947,903
903,887
887,534
534,556
720,726
759,726
726,732
738,732
732,834
651,675
807,675
675,834
834,544
949,544
544,561
917,929
905,929
929,885
944,963
941,963
963,885
885,529
715,721
754,721
721,727
733,727
727,829
646,670
802,670
670,829
829,529
529,558
529,559
529,560
958,624
770,773
770,776
770,774
770,775
770,777
770,772
771,773
771,776
771,775
771,777
771,772
769,773
769,776
769,774
769,606
769,768
769,775
769,772
773,779
661,779
779,609
926,938
914,938
938,892
953,892
892,609
609,645
609,630
609,618
645,902
900,902
902,624
624,610
624,617
624,632
624,633
624,634
624,636
624,943
956,894
916,940
928,940
940,894
894,620
664,782
776,782
782,620
620,610
620,619
610,607
610,621
610,641
610,615
610,616
610,630
658,601
951,601
601,614
774,780
662,780
780,612
954,612
612,614
612,602
612,619
614,607
614,622
607,600
607,611
607,631
606,603
768,604
659,604
604,602
602,603
603,605
642,611
642,622
615,628
615,625
616,629
616,626
630,627
775,781
663,781
781,613
927,939
915,939
939,893
899,904
955,904
904,893
893,613
613,635
777,783
665,783
783,623
957,623
623,640
925,937
913,937
937,891
952,964
943,964
964,891
891,608
772,778
660,778
778,608
608,637
608,638
608,639
961,978
668,978
978,972
959,975
666,975
975,980
962,984
669,688
842,841
840,841
841,688
688,984
984,980
984,979
980,972
972,974
981,982
983,982
982,973
960,977
667,977
977,979
979,973
973,976
307,301
307,304
307,300
307,302
307,296
307,295
307,298
307,305
307,366
307,297
307,299
307,294
306,301
306,304
306,300
306,302
306,303
306,296
306,295
306,298
306,305
306,366
306,370
306,297
306,294
301,168
177,168
177,340
168,342
342,341
342,329
195,340
340,341
341,332
175,334
175,335
193,334
334,332
196,346
346,348
197,350
350,348
348,330
304,169
178,169
169,352
198,352
352,343
352,345
352,344
176,338
176,339
338,343
343,330
330,336
300,335
335,345
345,329
329,333
302,347
347,349
303,351
351,349
349,331
194,339
339,344
344,331
331,337
179,357
179,358
199,357
357,355
272,278
248,278
278,284
189,284
284,55
296,164
140,164
164,55
55,360
55,57
55,361
55,62
180,362
180,363
362,360
360,353
365,367
369,367
367,353
353,359
271,277
247,277
277,283
188,283
283,322
139,163
308,295
308,298
308,297
308,299
308,294
295,163
163,322
322,52
408,420
396,420
420,52
52,130
52,73
52,61
130,67
384,67
67,53
67,60
67,75
67,76
67,77
67,79
67,428
398,422
410,422
422,63
298,166
142,166
166,324
191,286
250,280
274,280
280,286
286,324
324,63
63,53
63,62
53,50
53,64
53,84
53,58
53,59
53,73
305,358
358,57
57,50
57,65
50,356
50,54
50,74
366,368
370,368
368,354
200,363
363,361
361,354
354,364
85,54
85,65
58,71
58,68
59,72
59,69
73,70
273,279
249,279
279,285
190,285
285,323
141,165
297,165
165,323
323,56
409,421
397,421
421,376
383,376
376,56
56,78
275,281
251,281
281,287
192,287
287,66
143,167
299,167
167,66
66,83
407,419
395,419
419,375
428,375
375,51
270,276
246,276
276,282
187,282
282,321
138,162
294,162
162,321
321,51
51,80
51,81
51,82
453,489
453,492
453,488
183,228
183,171
183,488
238,231
238,229
238,232
238,234
238,235
238,221
238,522
238,220
238,223
238,222
238,224
238,219
237,231
237,229
237,232
237,233
237,234
237,230
237,235
237,221
237,236
237,522
237,526
237,220
237,223
237,222
237,219
231,228
228,489
489,490
310,171
171,492
492,487
492,491
492,471
488,487
488,491
487,490
490,475
451,478
451,479
451,480
181,225
181,479
181,170
229,225
225,478
478,475
454,497
454,498
232,497
497,499
455,501
455,502
233,501
501,499
499,472
456,503
313,172
184,172
172,325
234,252
253,252
252,325
325,503
503,493
503,494
503,496
503,495
452,484
452,485
452,486
230,226
230,227
182,226
182,485
182,227
226,484
484,493
493,472
472,481
491,476
479,476
485,494
494,473
473,482
309,170
170,480
480,496
496,471
471,477
311,498
498,500
312,502
502,500
500,474
227,486
486,495
495,474
474,483
185,510
185,511
185,173
235,510
510,507
432,19
203,209
242,209
209,215
221,215
215,317
290,158
134,158
158,317
317,19
19,515
19,516
19,21
19,517
19,26
236,518
236,520
186,518
186,519
186,520
518,515
515,504
522,524
526,524
524,504
504,513
511,508
519,516
516,505
505,514
436,31
202,208
241,208
208,214
239,220
239,223
239,222
239,224
239,219
220,214
214,316
133,157
289,157
157,316
316,16
404,416
392,416
416,372
431,372
372,16
16,129
16,37
16,25
129,387
382,387
387,31
31,17
31,24
31,39
31,40
31,41
31,43
31,427
434,374
394,418
406,418
418,374
374,27
292,160
136,160
160,319
223,217
244,211
205,211
211,217
217,319
319,27
27,17
27,26
17,14
17,28
17,48
17,22
17,23
17,37
457,512
314,173
173,512
512,21
21,14
21,29
14,509
14,18
14,38
523,525
527,525
525,506
520,517
517,506
506,521
49,18
49,29
22,35
22,32
23,36
23,33
37,34
204,210
243,210
210,216
222,216
216,318
135,159
291,159
159,318
318,20
405,417
393,417
417,373
381,389
433,389
389,373
373,20
20,42
206,212
245,212
212,218
224,218
218,320
137,161
293,161
161,320
320,30
435,30
30,47
403,415
391,415
415,371
430,449
427,449
449,371
371,15
201,207
240,207
207,213
219,213
213,315
132,156
288,156
156,315
315,15
15,44
15,45
15,46
444,110
256,259
256,262
256,260
256,261
256,263
256,258
257,259
257,262
257,261
257,263
257,258
255,259
255,262
255,260
255,92
255,254
255,261
255,258
259,265
147,265
265,95
412,424
400,424
424,378
439,378
378,95
95,131
95,116
95,104
131,388
386,388
388,110
110,96
110,103
110,118
110,119
110,120
110,122
110,429
442,380
402,426
414,426
426,380
380,106
150,268
262,268
268,106
106,96
106,105
96,93
96,107
96,127
96,101
96,102
96,116
144,87
437,87
87,100
260,266
148,266
266,98
440,98
98,100
98,88
98,105
100,93
100,108
93,86
93,97
93,117
92,89
254,90
145,90
90,88
88,89
89,91
128,97
128,108
101,114
101,111
102,115
102,112
116,113
261,267
149,267
267,99
413,425
401,425
425,379
385,390
441,390
390,379
379,99
99,121
263,269
151,269
269,109
443,109
109,126
411,423
399,423
423,377
438,450
429,450
450,377
377,94
258,264
146,264
264,94
94,123
94,124
94,125
447,464
154,464
464,458
445,461
152,461
461,466
448,470
155,174
328,327
326,327
327,174
174,470
470,466
470,465
466,458
458,460
467,468
469,468
468,459
446,463
153,463
463,465
465,459
459,462
